Title,Release Year,Duration,Director,Actor 1,Actor 2,Genre
One From the Heart,1982,107 min.,Francis Ford Coppola,Frederic Forrest,Raul Julia,Comedy
The Strawberry Blonde,1941,97 min.,Raoul Walsh,James Cagney,Olivia de Havilland,Comedy
The Truth About Cats & Dogs,1996,97 min.,Michael Lehmann,Uma Thurman,Janeane Garofalo,Comedy
Gundam Wing: Endless Waltz,1998,90 min.,Yasunao Aoki,Ted Cole,Scott McNeil,Action
Hostiles,2017,127 min.,Scott Cooper,Christian Bale,Rosamund Pike,Action
Transporter 2,2005,87 min.,Louis Leterrier,Amber Valletta,Matthew Modine,Action
Penny Serenade,1941,119 min.,George Stevens,Irene Dunne,Cary Grant,Drama
Intruder,1989,83 min.,Scott Spiegel,Elizabeth Cox,Renée Estevez,Horror
Ghost Town,2008,102 min.,David Koepp,Ricky Gervais,Téa Leoni,Comedy
Godzilla Against MechaGodzilla,2002,88 min.,Masaaki Tezuka,Yumiko Shaku,Shin Takuma,Action
The Postman,1997,177 min.,Kevin Costner,Kevin Costner,Larenz Tate,Action
Duplicity,2009,125 min.,Tony Gilroy,Julia Roberts,Clive Owen,Caper
Entr'acte,1924,22 min.,René Clair,Jean Börlin,Inge Frïss,Avant-garde / Experimental
A Walk in the Clouds,1995,102 min.,Alfonso Arau,Keanu Reeves,Anthony Quinn,Romance
The Fundamentals of Caring,2016,97 min.,Rob Burnett,Paul Rudd,Craig Roberts,Drama
King Solomon's Mines,1950,103 min.,"Compton Bennett, Andrew Marton",Stewart Granger,Deborah Kerr,Action
The 400 Tricks of the Devil,1906,17 min.,Georges Méliès,Georges Melies,,Fantasy
Never Rarely Sometimes Always,2020,101 min.,Eliza Hittman,Sidney Flanigan,Talia Ryder,Coming-of-Age
Under the Tuscan Sun,2003,113 min.,Audrey Wells,Diane Lane,Raoul Bova,Comedy Drama
The Man without a Face,1993,115 min.,Mel Gibson,Mel Gibson,Nick Stahl,Childhood Drama
Sleepaway Camp II: Unhappy Campers,1988,80 min.,Michael A. Simpson,Pamela Springsteen,Renée Estevez,Black Comedy
Death of a Cyclist,1955,87 min.,Juan Antonio Bardem,Lucia Bosé,Alberto Closas,Crime
Carousel,1956,128 min.,Henry King,Gordon MacRae,Shirley Jones,Based-on-Theatre
Doctor Who: The Waters of Mars,2009,62 min.,Graeme Harper,David Tennant,Lindsay Duncan,Adventure
Kingdom of the Planet of the Apes,2024,145 min.,Wes Ball,Owen Teague,Freya Allan,Action
Buck Rogers in the 25th Century,1979,89 min.,Daniel Haller,Gil Gerard,Pamela Hensley,Action
Batman Forever,1995,122 min.,Joel Schumacher,Val Kilmer,Tommy Lee Jones,Action
The Girl Can't Help It,1956,99 min.,Frank Tashlin,Tom Ewell,Jayne Mansfield,Comedy
God Told Me To,1976,91 min.,Larry Cohen,Tony Lo Bianco,Deborah Raffin,Crime Thriller
The Absent-Minded Professor,1961,92 min.,Robert Stevenson,Fred MacMurray,Nancy Olsen,Comedy
Super Dimension Fortress Macross: Do You Remember Love?,1984,114 min.,Noboru Ishiguro,Mari Iijima,Akira Kamiya,Animation
A Trip to Mars,1918,81 min.,Holger-Madsen,Nicolai Neiiendam,Gunnar Tolnæs,Science Fiction
People Will Talk,1951,110 min.,Joseph L. Mankiewicz,Cary Grant,Jeanne Crain,Comedy Drama
Twin Warriors,1993,96 min.,Woo-ping Yuen,Michelle Yeoh,Jet Li,Action
Cheap Thrills,2013,85 min.,E.L. Katz,Pat Healy,Sara Paxton,Black Comedy
Knight and Day,2010,110 min.,James Mangold,Paul Dano,Cameron Diaz,Action Comedy
Brain Donors,1992,80 min.,Dennis Dugan,John Turturro,Mel Smith,Comedy
The Eclipse: Courtship of the Sun and Moon,1907,9 min.,Georges Méliès,,,Fantasy
Doctor X,1932,76 min.,Michael Curtiz,Lionel Atwill,Fay Wray,Horror
The Duchess,2008,110 min.,Saul Dibb,Keira Knightley,Ralph Fiennes,Based-on-20th-Century-Literature
Winnie the Pooh and Tigger Too,1974,25 min.,John Lounsbery,Sterling Holloway,Sebastian Cabot,Animation
Freedom Writers,2007,123 min.,Richard LaGravenese,Hilary Swank,Patrick Dempsey,Drama
"Food, Inc.",2009,94 min.,Robert Kenner,Gary Hirschberg,Michael Pollan,Culture and Society
Suspense,1913,10 min.,"Phillips Smalley, Lois Weber",Lois Weber,Val Paul,Drama
The Shallows,2016,85 min.,Jaume Collet-Serra,Blake Lively,Óscar Jaenada,Horror
The Beatles: Get Back,2021,471 min.,Peter Jackson,Paul McCartney,John Lennon,Culture and Society
It Might Get Loud,2009,97 min.,Davis Guggenheim,Jack White,Jimmy Page,Biography
There Was a Father,1942,87 min.,Yasujirô Ozu,Chishu Ryu,Shûji Sano,Drama
Anna and the King,1999,148 min.,Andy Tennant,Bai Ling,Tom Felton,Costume Romance
For Me and My Gal,1942,104 min.,Busby Berkeley,Judy Garland,Gene Kelly,Drama
Just Cause,1995,102 min.,Arne Glimcher,Laurence Fishburne,Kate Capshaw,Courtroom Drama
The Wedding March,1928,113 min.,Erich von Stroheim,Erich Von Stroheim,Fay Wray,Drama
The Missing,2003,137 min.,Ron Howard,Tommy Lee Jones,Cate Blanchett,Adventure
The Jacket,2005,103 min.,John Maybury,Keira Knightley,Daniel Craig,Psychological Thriller
Bonjour tristesse,1958,94 min.,Otto Preminger,Jean Seberg,David Niven,Drama
Halloween,2007,121 min.,Rob Zombie,Malcolm McDowell,Scout Taylor-Compton,Horror
Run Fatboy Run,2007,100 min.,David Schwimmer,Hank Azaria,Dylan Moran,Comedy
Moonlight Mile,2002,117 min.,Brad Silberling,Jake Gyllenhaal,Dustin Hoffman,Coming-of-Age
The Nutty Professor,1963,107 min.,Jerry Lewis,Jerry Lewis,Stella Stevens,Comedy
The Legend of Billie Jean,1985,96 min.,Matthew Robbins,Richard Bradford,Dean Stockwell,Chase Movie
The Day of the Beast,1995,103 min.,Álex de la Iglesia,Alex Angulo,Armando De Razza,Black Comedy
My Science Project,1985,94 min.,Jonathan R. Betuel,John Stockwell,Danielle von Zerneck,Comedy
Grumpier Old Men,1995,101 min.,Howard Deutch,Jack Lemmon,Walter Matthau,Buddy Film
Mr. Nice Guy,1997,113 min.,Sammo Hung,Jackie Chan,Richard Norton,Action
Pushing Tin,1999,124 min.,Mike Newell,John Cusack,Billy Bob Thornton,Comedy Drama
Ender's Game,2013,114 min.,Gavin Hood,Asa Butterfield,Hailee Steinfeld,Action
The Immigrant,2013,120 min.,James Gray,Jeremy Renner,Marion Cotillard,Drama
Dutch,1991,107 min.,Peter Faiman,Ed O'Neill,Ethan Embry,Comedy
The Disappearance of Alice Creed,2009,100 min.,J Blakeson,Gemma Arterton,Eddie Marsan,Crime
Dark Blue,2002,118 min.,Ron Shelton,Kurt Russell,Michael Michele,Crime Drama
The Big Hit,1998,91 min.,Kirk Wong,Mark Wahlberg,Lou Diamond Phillips,Action
K-19: The Widowmaker,2002,138 min.,Kathryn Bigelow,Harrison Ford,Liam Neeson,Action
The Bear,1988,96 min.,Jean-Jacques Annaud,Tchéky Karyo,Jack Wallace,Adventure
Intolerable Cruelty,2003,100 min.,Joel & Ethan Coen,George Clooney,Catherine Zeta-Jones,Comedy
Murder on the Orient Express,2017,114 min.,Kenneth Branagh,Kenneth Branagh,Penélope Cruz,Based-on-20th-Century-Literature
Long-Haired Hare,1949,8 min.,Chuck Jones,Mel Blanc,Nicolai Shutorov,Animation
Carrie,2002,132 min.,David Carson,Emilie de Ravin,Sean Tyler Foley,Based-on-20th-Century-Literature
Two Rode Together,1961,109 min.,John Ford,James Stewart,Richard Widmark,Revisionist Western
Wadjda,2012,98 min.,Haifaa Al-Mansour,Reem Abdullah,Waad Mohammed,Coming-of-Age
Secret Window,2004,96 min.,David Koepp,Johnny Depp,John Turturro,Based-on-20th-Century-Literature
Punchline,1988,128 min.,David Seltzer,Tom Hanks,Pamela Matteson,Comedy Drama
Harley Davidson and the Marlboro Man,1991,98 min.,Simon Wincer,Mickey Rourke,Tom Sizemore,Action
Elizabethtown,2005,123 min.,Cameron Crowe,Orlando Bloom,Kirsten Dunst,Comedy Drama
The Last House on the Left,2009,110 min.,Dennis Iliadis,Tony Goldwyn,Garret Dillahunt,Home Invasion Film
The Boys in the Band,1970,118 min.,William Friedkin,Kenneth Nelson,Frederick Combs,Based-on-Theatre
The House of the Devil,1896,2 min.,Georges Méliès,Jeanne d'Alcy,Georges Melies,Comedy
Gate of Hell,1953,86 min.,Teinosuke Kinugasa,Kazuo Hasegawa,Machiko Kyô,Drama
Instant Family,2018,119 min.,Sean Anders,Mark Wahlberg,Rose Byrne,Comedy
V: The Final Battle,1984,272 min.,Richard T. Heffron,Jane Badler,Michael Ironside,Action
Hellraiser III: Hell on Earth,1992,97 min.,Anthony Hickox,Doug Bradley,Paula Marshall,Body Horror
The Taking of Pelham 1 2 3,2009,106 min.,Tony Scott,Denzel Washington,John Travolta,Caper
Nine 1/2 Weeks,1986,112 min.,Adrian Lyne,Kim Basinger,Mickey Rourke,Based-on-20th-Century-Literature
The Shipping News,2001,111 min.,Lasse Hallström,Kevin Spacey,Julianne Moore,Drama
"Elvira, Mistress of the Dark",1988,96 min.,James Signorelli,Daniel Greene,Susan Kellermann,Comedy
Tabloid,2010,87 min.,Errol Morris,Joyce McKinney,,Biography
The Unholy Three,1925,86 min.,Tod Browning,Lon Chaney,Mae Busch,Crime Thriller
Arabian Nights,1974,130 min.,Pier Paolo Pasolini,Ninetto Davoli,Franco Citti,Adventure
Kate and Leopold,2001,123 min.,James Mangold,Liev Schreiber,Breckin Meyer,Comedy
Midnight Madness,1980,112 min.,"Michael Nankin, David Wechter",David Naughton,Debra Clinger,Adventure
Gotcha!,1985,101 min.,Jeff Kanew,Anthony Edwards,Linda Fiorentino,Action
A Little Romance,1979,108 min.,George Roy Hill,Laurence Olivier,Arthur Hill,Comedy
The Time of Their Lives,1946,82 min.,Charles Barton,Bud Abbott,Lou Costello,Comedy
Fullmetal Alchemist the Movie: Conqueror of Shamballa,2005,105 min.,Seiji Mizushima,Romi Pak,Rie Kugimiya,Action
Twenty Feet from Stardom,2013,90 min.,Morgan Neville,Darlene Love,Merry Clayton,Documentary
Artists and Models,1955,109 min.,Frank Tashlin,Dean Martin,Dorothy Malone,Based-on-Theatre
"What's Up, Tiger Lily?",1966,80 min.,"Woody Allen, Senkichi Taniguchi",Woody Allen,Tatsuya Mihashi,Absurd Comedy
Walking Tall,2004,87 min.,Kevin Bray,Johnny Knoxville,Dwayne Johnson,Action
Mother Joan of the Angels,1961,110 min.,Jerzy Kawalerowicz,Lucyna Winnicka,Mieczyslaw Voit,Drama
The Aristocrats,2005,89 min.,Paul Provenza,Chris Albrecht,Jason Alexander,Comedy
Murder Most Foul,1964,90 min.,George Pollock,Stringer Davis,Ron Moody,Comedy
Enchanted April,1992,95 min.,Mike Newell,Miranda Richardson,Joan Plowright,Comedy Drama
The Grandmother,1970,34 min.,David Lynch,,,Avant-garde / Experimental
"The Devil, Probably",1977,95 min.,Robert Bresson,Antoine Monnier,Tina Irissari,Drama
Maniac,2012,90 min.,Franck Khalfoun,Elijah Wood,Nora Arnezeder,Horror
George Carlin: Jammin' in New York,1992,59 min.,Rocco Urbishi,George Carlin,,Comedy
Saint Maud,2019,84 min.,Rose Glass,Morfydd Clark,Jennifer Ehle,Female-Directed Film
The Interview,1998,104 min.,Craig Monahan,Hugo Weaving,Tony Martin,Crime
That Man from Rio,1964,112 min.,Philippe de Broca,Jean-Paul Belmondo,Jean Servais,Action Comedy
High Art,1998,101 min.,Lisa Cholodenko,Patricia Clarkson,Tammy Grimes,Addiction Drama
The Good Thief,2002,108 min.,Neil Jordan,Nick Nolte,Nutsa Kukhianidze,Caper
Brother,2000,114 min.,Takeshi Kitano,Takeshi Kitano,Omar Epps,Crime
Rambo III,1988,101 min.,Peter MacDonald,Sylvester Stallone,Kurtwood Smith,Action Thriller
Nazarin,1959,94 min.,Luis Buñuel,Francisco Rabal,Marga López,Comedy
The General,1998,124 min.,John Boorman,Brendan Gleeson,Adrian Dunbar,Based-on-20th-Century-Literature
The Comedy of Terrors,1963,84 min.,Jacques Tourneur,Vincent Price,Peter Lorre,Based-on-20th-Century-Literature
Tideland,2005,120 min.,Terry Gilliam,Jodelle Ferland,Janet McTeer,Childhood Drama
Frequently Asked Questions About Time Travel,2009,83 min.,Gareth Carrivick,Mark Watson,Meredith MacNeill,Comedy
Man of La Mancha,1972,132 min.,Arthur Hiller,Peter O'Toole,Sophia Loren,Based-on-Theatre
Thor: Love and Thunder,2022,119 min.,Taika Waititi,Chris Hemsworth,Natalie Portman,Action
The Falcon and the Winter Soldier,2021,300 min.,Kari Skogland,Anthony Mackie,Sebastian Stan,Action Thriller
Fever Pitch,2005,103 min.,Bobby & Peter Farrelly,Jimmy Fallon,Jason Spevack,Comedy
Vegas Vacation,1997,93 min.,Stephen Kessler,Chevy Chase,Beverly D'Angelo,Comedy
Madhouse,1974,92 min.,Jim Clark,Vincent Price,Peter Cushing,Crime
What's Up Doc?,1950,7 min.,Robert McKimson,Mel Blanc,Richard Bickenbach,Animation
The Heat,2013,117 min.,Paul Feig,Sandra Bullock,Melissa McCarthy,Buddy Film
Crime Wave,1954,73 min.,André De Toth,Gene Nelson,Ted de Corsia,Crime Drama
The Manchurian Candidate,2004,129 min.,Jonathan Demme,Denzel Washington,Meryl Streep,Drama
How to Lose a Guy in 10 Days,2003,116 min.,Donald Petrie,Kate Hudson,Matthew McConaughey,Comedy
The Big Steal,1949,71 min.,Don Siegel,Robert Mitchum,Jane Greer,Adventure
Runaway,1984,99 min.,Michael Crichton,Tom Selleck,Gene Simmons,Action
Alien: Romulus,2024,119 min.,Fede Alvarez,Cailee Spaeny,David Jonsson,Action
Lorenzo's Oil,1992,129 min.,George Miller,Nick Nolte,Susan Sarandon,Docudrama
Freddy Vs. Jason,2003,97 min.,Ronny Yu,Robert Englund,Ken Kirzinger,Horror
Rules of Engagement,2000,128 min.,William Friedkin,Tommy Lee Jones,Guy Pearce,Drama
The Merchant of Four Seasons,1971,88 min.,Rainer Werner Fassbinder,Hans Hirschmüller,Irm Hermann,Drama
Indecent Proposal,1993,117 min.,Adrian Lyne,Robert Redford,Demi Moore,Drama
The Island of Dr. Moreau,1977,99 min.,Don Taylor,Michael York,Nick Cravat,Based-on-19th-Century-Literature
Murphy's Romance,1985,107 min.,Martin Ritt,Sally Field,James Garner,Comedy
Brighton Beach Memoirs,1986,108 min.,Gene Saks,Blythe Danner,Bob Dishy,Based-on-a-True-Story
The Cat and the Canary,1939,72 min.,Elliott Nugent,Bob Hope,Paulette Goddard,Based-on-Theatre
Flowers and Trees,1932,8 min.,Burt Gillett,,,Animated Musical
Circle of Friends,1995,103 min.,Pat O'Connor,Chris O'Donnell,Minnie Driver,Romance
Puppetmaster,1989,90 min.,David Schmoeller,Paul Le Mat,Robin Frates,Horror
The Sisters Brothers,2018,121 min.,Jacques Audiard,John C. Reilly,Joaquin Phoenix,Based-on-21st-Century-Literature
Popeye,1980,114 min.,Robert Altman,Robin Williams,Shelley Duvall,Adventure Comedy
Shocker,1989,109 min.,Wes Craven,Peter Berg,Mitch Pileggi,Horror
Manderlay,2005,139 min.,Lars von Trier,Bryce Dallas Howard,Danny Glover,Avant-garde / Experimental
Hard to Kill,1990,96 min.,Bruce Malmuth,Steven Seagal,Kelly LeBrock,Action Thriller
Mr. Deeds,2002,96 min.,Steven Brill,Adam Sandler,Winona Ryder,Comedy of Manners
Son of Paleface,1952,95 min.,Frank Tashlin,Bob Hope,Jane Russell,Comedy of Errors
Party Monster,2003,98 min.,Fenton Bailey,Macaulay Culkin,Seth Green,Crime Drama
"Muriel, or The Time of Return",1963,115 min.,Alain Resnais,Delphine Seyrig,Jean-Pierre Kérien,Drama
Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,2020,95 min.,Jason Woliner,Sacha Baron Cohen,Maria Bakalova,Based-on-Television
The Drowning Pool,1975,108 min.,Stuart Rosenberg,Paul Newman,Joanne Woodward,Detective Film
The King of Staten Island,2020,136 min.,Judd Apatow,Pete Davidson,Bill Burr,Comedy
License to Drive,1988,88 min.,Greg Beeman,Corey Haim,Corey Feldman,Comedy
The Shadow,1994,108 min.,Russell Mulcahy,Peter Boyle,Alec Baldwin,Action
Defendor,2009,95 min.,Peter Stebbings,Woody Harrelson,Kat Dennings,Black Comedy
Superman II: The Richard Donner Cut,2006,115 min.,Richard Donner,Christopher Reeve,Margot Kidder,Action
The Diary of a Teenage Girl,2015,102 min.,Marielle Heller,Bel Powley,Kristen Wiig,Based-on-Comics
Angel-A,2005,91 min.,Luc Besson,Jamel Debbouze,Rie Rasmussen,Comedy
Fat Man & Little Boy,1989,127 min.,Roland Joffé,Paul Newman,Dwight Schultz,Docudrama
Blades of Glory,2007,93 min.,"Josh Gordon, Will Speck",Will Ferrell,Will Arnett,Comedy
The Endless,2017,111 min.,"Justin Benson, Aaron Moorhead",Justin Benson,Aaron Moorhead,Horror
Falling Leaves,1912,12 min.,Alice Guy,Mace Greenleaf,Blanche Cornwall,Addiction Drama
Brother Bear,2003,82 min.,Aaron Blaise,Joaquin Phoenix,Jason Raize,Animal Picture
Bumping Into Broadway,1919,25 min.,H.M. Walker,Harold Lloyd,Bebe Daniels,Comedy
Platinum Blonde,1931,89 min.,Frank Capra,Loretta Young,Robert Williams,Comedy
Waves,2019,135 min.,Trey Edward Shults,Taylor Russell,Kelvin Harrison Jr.,Coming-of-Age
Humoresque,1946,125 min.,Jean Negulesco,Joan Crawford,John Garfield,Drama
Only the Lonely,1991,104 min.,Chris Columbus,John Candy,Maureen O'Hara,Comedy Drama
The Children are Watching Us,1944,84 min.,Vittorio De Sica,Emilio Cigoli,Luciano De Ambrosis,Drama
Broken Arrow,1996,108 min.,John Woo,Christian Slater,Samantha Mathis,Action
Rogue,2007,99 min.,Greg Mclean,Radha Mitchell,Michael Vartan,Horror
The Door in the Floor,2004,111 min.,Tod Williams,Jeff Bridges,Kim Basinger,Drama
In Which We Serve,1942,115 min.,"Noel Coward, David Lean",Michael Wilding,Noël Coward,Drama
Twelfth Night,1996,134 min.,Trevor Nunn,Helena Bonham Carter,Richard E. Grant,Based-on-Shakespeare
Death Wish 3,1985,92 min.,Michael Winner,Charles Bronson,Deborah Raffin,Action
Two English Girls,1971,108 min.,François Truffaut,Jean-Pierre Léaud,Kika Markham,Costume Romance
The Exorcism of Emily Rose,2005,122 min.,Scott Derrickson,Laura Linney,Tom Wilkinson,Courtroom Drama
Honkytonk Man,1982,122 min.,Clint Eastwood,Verna Bloom,Matt Clark,Drama
Zardoz,1974,105 min.,John Boorman,Sean Connery,Charlotte Rampling,Adventure
Song of the Thin Man,1947,86 min.,Edward Buzzell,William Powell,Myrna Loy,Based-on-20th-Century-Literature
Instinct,1999,126 min.,Jon Turteltaub,Anthony Hopkins,Cuba Gooding Jr.,Psychological Thriller
The Believers,1987,114 min.,John Schlesinger,Martin Sheen,Helen Shaver,Based-on-20th-Century-Literature
The Big Knife,1955,111 min.,Robert Aldrich,Jack Palance,Ida Lupino,Drama
A Lot Like Love,2005,107 min.,Nigel Cole,Ashton Kutcher,Amanda Peet,Comedy Drama
Antz,1998,83 min.,"Eric Darnell, Tim Johnson",Woody Allen,Sharon Stone,Adventure Comedy
Invaders from Mars,1986,100 min.,Tobe Hooper,Karen Black,Hunter Carson,Alien Invasion Films
Road to Utopia,1946,90 min.,Hal Walker,Bing Crosby,Bob Hope,Comedy
Road to Bali,1952,91 min.,Hal Walker,Bing Crosby,Bob Hope,Adventure Comedy
The Fat and the Lean Wrestling Match,1901,2 min.,Georges Méliès,Jeanne d'Alcy,Georges Melies,Comedy
Pretty Poison,1968,89 min.,Noel Black,Anthony Perkins,Tuesday Weld,Black Comedy
Fireworks,1947,20 min.,Kenneth Anger,Kenneth Anger,Gordon Gray,Avant-garde / Experimental
The Love Nest,1923,23 min.,"Edward F. Cline, Buster Keaton",Buster Keaton,Virginia Fox,Adventure
Soldier Blue,1970,112 min.,Ralph Nelson,Candice Bergen,Peter Strauss,Drama
Josie and the Pussycats,2001,98 min.,"Harry Elfont, Deborah Kaplan",Rachael Leigh Cook,Rosario Dawson,Based-on-Comics
The Cell,2000,107 min.,Tarsem Singh,Vince Vaughn,Vincent D'Onofrio,Horror
The Expendables 2,2012,102 min.,Simon West,Sylvester Stallone,Jason Statham,Action
Quarantine,2008,89 min.,John Erick Dowdle,Jennifer Carpenter,Steve Harris,Found Footage Film
"Race for Your Life, Charlie Brown",1977,76 min.,"Bill Melendez, Phil Roman",Duncan Watson,Greg Felton,Animation
The Bank,1915,33 min.,Charles Chaplin,Charles Chaplin,Edna Purviance,Comedy
Rhapsody Rabbit,1946,7 min.,Friz Freleng,,,Animation
The Merchant of Venice,2004,138 min.,Michael Radford,Joseph Fiennes,Mackenzie Crook,Based-on-Shakespeare
Sweeney Todd: The Demon Barber of Fleet Street,1982,140 min.,"Terry Hughes, Harold Prince",Angela Lansbury,George Hearn,Based-on-Theatre
Pursued,1947,101 min.,Raoul Walsh,Robert Mitchum,Teresa Wright,Drama
Eyes of Laura Mars,1978,104 min.,Irvin Kershner,Faye Dunaway,Tommy Lee Jones,Crime Thriller
The Secret Garden,1949,92 min.,Fred M. Wilcox,Margaret O'Brien,Herbert Marshall,Childhood Drama
It's a Disaster,2012,88 min.,Todd Berger,Julia Stiles,David Cross,Apocalyptic Film
Along Came a Spider,2001,104 min.,Lee Tamahori,Dylan Baker,Mika Boorem,Thriller
The Fate of the Furious,2017,136 min.,F. Gary Gray,Vin Diesel,Charlize Theron,Action Thriller
Melinda and Melinda,2004,99 min.,Woody Allen,Radha Mitchell,Chiwetel Ejiofor,Comedy
The Suspect,1944,85 min.,Robert Siodmak,Charles Laughton,Ella Raines,Film Noir
Strait-Jacket,1964,93 min.,William Castle,Joan Crawford,Diane Baker,Horror
Blockers,2018,102 min.,Kay Cannon,John Cena,Leslie Mann,Comedy
Spring in a Small Town,1948,93 min.,Mu Fei,Chaoming Chu,Wei Li,Drama
Wallace and Gromit in 'A Matter of Loaf and Death',2008,30 min.,Nick Park,Peter Sallis,Sally Lindsay,Animation
Macross Plus,1994,115 min.,Shoji Kawamori,Takumi Yamazaki,Unshô Ishizuka,Action
"Django, Kill... If You Live, Shoot!",1967,100 min.,Giulio Questi,Tomas Milian,Ray Lovelock,Foreign Language Film
Scream VI,2023,118 min.,"Matt Bettinelli-Olpin, Tyler Gillett",Courteney Cox,Melissa Barrera,Horror
The Pirates of Penzance,1983,112 min.,Wilford Leach,Kevin Kline,George Rose,Adventure
Behind The Screen,1916,24 min.,Charles Chaplin,Eric Campbell,Charles Chaplin,Comedy
Lured,1947,102 min.,Douglas Sirk,Lucille Ball,George Sanders,Crime
The Dead,1987,85 min.,John Huston,Anjelica Huston,Donal McCann,Drama
The Last Tycoon,1976,123 min.,Elia Kazan,Robert De Niro,Tony Curtis,Costume Romance
Color Out of Space,2019,111 min.,Richard Stanley,Nicolas Cage,Joely Richardson,Based-on-20th-Century-Literature
Patch Adams,1998,115 min.,Tom Shadyac,Robin Williams,Daniel London,Based-on-a-True-Story
The Adventures of Milo and Otis,1986,76 min.,Masanori Hata,Dudley Moore,,Adventure
The Mule,2018,116 min.,Clint Eastwood,Clint Eastwood,Bradley Cooper,Based-on-a-True-Story
Monsieur Hire,1989,81 min.,Patrice Leconte,Michel Blanc,Sandrine Bonnaire,Crime Drama
Outside Providence,1999,96 min.,Michael Corrente,Shawn Hatosy,Jonathan Brandis,Comedy
Battle of the Sexes,2017,121 min.,"Jonathan Dayton, Valerie Faris",Emma Stone,Steve Carell,Based-on-a-True-Story
Forever Young,1992,102 min.,Steve Miner,Mel Gibson,Elijah Wood,Fantasy
Adam,2009,99 min.,Max Mayer,Rose Byrne,Hugh Dancy,Comedy Drama
First Cow,2019,121 min.,Kelly Reichardt,John Magaro,Orion Lee,Based-on-20th-Century-Literature
The Tree of Wooden Clogs,1978,186 min.,Ermanno Olmi,Luigi Ornaghi,Francesca Moriggi,Drama
The Sinking of the Lusitania,1918,12 min.,Winsor McCay,,,Animation
Run Ronnie Run!,2002,86 min.,Troy Miller,David Cross,Bob Odenkirk,Comedy
Changing Lanes,2002,99 min.,Roger Michell,Toni Collette,Sydney Pollack,Drama
The Hunter,2011,102 min.,Daniel Nettheim,Willem Dafoe,Sam Neill,Adventure Drama
Where the Heart Is,2000,120 min.,Matt Williams,Natalie Portman,Joan Cusack,Comedy Drama
The Hunt,2020,89 min.,Craig Zobel,Betty Gilpin,Hilary Swank,Action Comedy
Man's Favorite Sport?,1964,120 min.,Howard Hawks,Paula Prentiss,Charlene Holt,Comedy
Planet Hulk,2010,81 min.,Sam Liu,Kevin Michael Richardson,Lisa Ann Beley,Action
The King,2019,140 min.,David Michôd,Timothée Chalamet,Robert Pattinson,Based-on-a-True-Story
2 Guns,2013,109 min.,Baltasar Kormákur,Denzel Washington,Mark Wahlberg,Action
Miss Sloane,2016,132 min.,John Madden,Jessica Chastain,Mark Strong,Drama
"Clean, Shaven",1993,79 min.,Lodge Kerrigan,Jennifer MacDonald,Rob Benevides,Drama
G.I. Jane,1997,124 min.,Ridley Scott,Demi Moore,Viggo Mortensen,Drama
Edge of Darkness,2010,117 min.,Martin Campbell,Mel Gibson,Ray Winstone,Based-on-Television
"Dude, Where's My Car?",2000,83 min.,Danny Leiner,Ashton Kutcher,Seann William Scott,Absurd Comedy
The Eruption of Mt. Pelee,1902,5 min.,Georges Méliès,,,Short Film
Land Without Bread,1933,30 min.,Luis Buñuel,Abel Jacquin,Alexandre O'Neill,Culture and Society
The Way,2010,115 min.,Emilio Estevez,Martin Sheen,Deborah Kara Unger,Adventure
Pearl Harbor,2001,183 min.,Michael Bay,Josh Hartnett,Cuba Gooding Jr.,Epic
Weiner,2016,96 min.,"Josh Kriegman, Elyse Steinberg",,,Culture and Society
Calendar Girls,2003,108 min.,Nigel Cole,Julie Walters,Helen Mirren,Comedy
Prom Night,1980,89 min.,Paul Lynch,Jamie Lee Curtis,Leslie Nielsen,Canuxploitation
Bill & Ted Face the Music,2020,88 min.,Dean Parisot,Keanu Reeves,Alex Winter,Adventure Comedy
The Englishman Who Went up a Hill But Came Down A Mountain,1995,99 min.,Christopher Monger,Hugh Grant,Tara Fitzgerald,Comedy
Erik the Viking,1989,107 min.,Terry Jones,Eartha Kitt,John Cleese,Absurd Comedy
Cahill U.S. Marshall,1973,103 min.,Andrew V. McLaglen,John Wayne,George Kennedy,Western
Under the Roofs of Paris,1930,96 min.,René Clair,Albert Préjean,Pola Illéry,Comedy Drama
The Art of Self-Defense,2019,104 min.,Riley Stearns,Jesse Eisenberg,Alessandro Nivola,Black Comedy
Body Bags,1993,91 min.,"John Carpenter, Tobe Hooper",John Carpenter,Robert Carradine,Anthology Film
Virtuosity,1995,106 min.,Brett Leonard,Denzel Washington,Russell Crowe,Chase Movie
Nil by Mouth,1997,128 min.,Gary Oldman,Chrissie Cotterill,Jamie Foreman,Drama
Hangover Square,1945,77 min.,John Brahm,Laird Cregar,Linda Darnell,Film Noir
Monsters Vs. Aliens,2009,94 min.,Rob Letterman and Conrad Vernon,Reese Witherspoon,Seth Rogen,Action Comedy
The Hitman's Bodyguard,2017,118 min.,Patrick Hughes,Ryan Reynolds,Samuel L. Jackson,Action Comedy
Manic,2001,100 min.,Jordan Melamed,Joseph Gordon-Levitt,Adrienne Rollo,Coming-of-Age
"Mr. Death: The Rise And Fall Of Fred A. Leuchter, Jr.",2000,91 min.,Errol Morris,Fred A. Leuchter Jr.,Robert Jan Van Pelt,Biography
The Tarnished Angels,1957,91 min.,Douglas Sirk,Rock Hudson,Robert Stack,Adventure
